dataset,subject,identified,CHM,CHM_nfolds,Markov,Markov_nfolds,Logistic,Logistic_nfolds,HMM,HMM_nfolds,OU,OU_nfolds,GBM,GBM_nfolds
NURSE,7E_1603373768,False,,0,,0,,0,-5.871504144196304,5,-0.42116742417056396,5,-10.943544193846902,5
NURSE,83_1604190038,False,,0,,0,,0,-5.5263442448366815,5,0.48575838022035567,5,-25.342241425491274,5
NURSE,8B_1594313953,False,-2.499416752906868,1,,0,,0,-7.256926563220351,5,0.0762077651413159,5,-11.03599074109625,5
NURSE,CE_1587647855,False,-29.16144414079127,1,,0,,0,-10.377791775122333,5,0.196740961978577,5,-115.16426615801922,5
NURSE,E4_1587302737,True,0.6994378857765818,4,-0.6562198634257876,5,-0.7120806638867148,5,-7.7697286323289605,5,0.35198694767722094,5,-9.600723310377251,5
NURSE,F5_1594390055,False,,0,,0,,0,-6.714065175968895,5,-0.604497909630277,5,-8.792263292651779,5
NURSE,15_1594311202,False,0.22535362806753367,4,,0,,0,-7.831091472151432,5,-0.2724021174013753,5,-35.85729513402153,5
NURSE,6B_1588970444,False,,0,,0,,0,-6.17675386031158,5,-0.8531150922716881,5,-12.13480091864859,5
NURSE,6D_1595339521,True,-4.471469167931898,5,-0.714967706026783,5,-2.3785035219107913,5,-8.319395412711648,5,-0.3670019964037802,5,-61.763475075377315,5
NURSE,7A_1587643240,True,0.6725484423205358,3,-0.9889627882849197,5,-0.9603465391529034,5,-4.64753368828835,5,0.5567906433404269,5,-8.068155599405232,5
NURSE,CE_1587660308,False,,0,,0,,0,-5.9032856472751485,5,-0.3460390547929424,5,-8.624771711766565,5
NURSE,DF_1594907019,False,,0,,0,,0,-5.216541701478875,5,-0.6703523509701543,5,-14.8662979286016,5
NURSE,EG_1603895434,False,,0,,0,,0,-5.40470942204402,5,-0.6697761065956669,5,-9.29168538129191,5
NURSE,6D_1595523837,True,-0.3006955299457728,4,-0.7281659581015604,5,-0.6985963618770905,5,-6.505995309002055,5,-0.3592656833018582,5,-10.65613149478546,5
NURSE,83_1604224222,False,,0,,0,,0,-5.08385821389826,5,0.15389924364314198,5,-9.217996672287203,5
NURSE,DF_1594991923,True,-0.9033579549854366,5,-0.6262082759767378,5,-0.7852106326162537,5,-5.969780241296801,5,-0.9208724278479237,5,-9.099531309947025,5
NURSE,F5_1594403655,False,,0,,0,,0,-5.365790271822792,5,-0.5465341847051745,5,-9.659846697026632,5
NURSE,6D_1595604487,False,-1.9967678183494526,1,,0,,0,-7.508513858224336,5,-0.43423494085852427,5,-34.67437152257485,5
NURSE,7A_1588977047,False,,0,,0,,0,-7.273083881214324,5,-0.8297606386786718,5,-10.926826571516875,5
NURSE,7E_1603719136,True,-0.8496113140035093,4,-0.7602482882538538,5,-0.7654202023523878,5,-8.131779177808966,5,-0.7138774370818951,5,-27.386248004679906,5
NURSE,83_1604278781,False,,0,,0,,0,-4.617473923940677,5,0.2874873372105703,5,-6.441453231366819,5
NURSE,CE_1588162715,False,-6.965689543201669,1,,0,,0,-7.1865125229183535,5,-1.3891829256627317,5,-332.77220343877514,5
NURSE,DF_1595273281,False,,0,,0,,0,-8.011877792455069,5,-1.2440194619365985,5,-7.716968715382341,5
NURSE,EG_1603972494,True,-0.4931655016476967,4,-0.7190907786118921,5,-1.1557840033290732,5,-94.32283302250171,5,-0.5179982190546544,5,-20.88248502516174,5
NURSE,F5_1594647650,True,-0.33285151885847336,4,-0.5314074147643385,5,-0.4380668214740762,5,-5.052275448943945,5,-0.9954164929714381,5,-19.114997463892795,5
NURSE,15_1594380033,False,,0,,0,,0,-6.097112946597219,5,-0.32710148265068495,5,-7.693502003782352,5
NURSE,5C_1587661745,False,-0.09346524121212912,2,,0,,0,-3.6986793517327525,5,0.6843769594363872,5,-5.536573632330969,5
NURSE,6B_1590172247,True,,0,-0.7036341670396763,5,-0.7050694463787968,5,-6.026546500325865,5,-0.8631751377725901,5,-16.171582996698884,5
NURSE,83_1604314003,True,-0.1741255028267952,4,-0.556117652066025,5,-0.4958623828082052,5,-6.7669738897326965,5,-0.6449865957509193,5,-13.330203497977838,5
NURSE,BG_1603934355,False,-2.552238739636244,1,,0,,0,-6.391204148219366,5,-0.4772268579923099,5,-5.918995139572094,5
NURSE,CE_1588172175,False,,0,,0,,0,-33.138413046564644,5,0.4577464244536117,5,-19.320782554398438,5
NURSE,DF_1595337957,True,-0.7893613540129838,5,-0.6176671933169053,5,-0.6119409155146214,5,-7.021941348539594,5,-0.7719843991915679,5,-12.211003031380429,5
NURSE,EG_1603993236,False,-1.6326849134817039,2,,0,,0,-6.7727648688703725,5,-0.8214773732128016,5,-13.001860727435599,5
NURSE,15_1595334888,True,-0.7717092578452625,3,-0.9526893602775186,5,-1.0373943472085614,5,-7.1921131764478,5,-1.1212200145964535,5,-6.462621395651453,5
