n,window,detrend,estimator,predicted,n_rep,median,mean,q025,q975,frac_correct_sign
20000,20,False,ac1,0.5,2,-0.012866735765099453,-0.012866735765099453,-0.0684930852586022,0.0427596137284033,0.5
20000,20,False,variance,-0.5,2,0.22622874552444214,0.22622874552444214,0.2009946791213079,0.25146281192757636,0.0
20000,20,True,theory,0.5,2,0.5655412702858014,0.5655412702858014,0.5651156986591901,0.5659668419124126,1.0
20000,20,True,ac1,0.5,2,0.01851133236742325,0.01851133236742325,0.0006143004541973225,0.036408364280649176,0.5
20000,20,True,variance,-0.5,2,0.071680890298564,0.071680890298564,0.050332802761175306,0.0930289778359527,0.0
20000,30,False,theory,0.5,2,0.5646306020794916,0.5646306020794916,0.5645199463146856,0.5647412578442975,1.0
20000,30,False,ac1,0.5,2,-0.2608270799087359,-0.2608270799087359,-0.2625761203214217,-0.25907803949605007,0.0
20000,30,False,variance,-0.5,2,0.3110728994470898,0.3110728994470898,0.31059074771422546,0.31155505117995413,0.0
20000,30,True,theory,0.5,2,0.5644848775385551,0.5644848775385551,0.5641766446196851,0.5647931104574252,1.0
20000,30,True,ac1,0.5,2,-0.040118837674614743,-0.040118837674614743,-0.1098198905578612,0.02958221520863171,0.5
20000,30,True,variance,-0.5,2,0.12037946923179715,0.12037946923179715,0.10371995113176354,0.13703898733183076,0.0
20000,60,False,theory,0.5,2,0.5656412138946487,0.5656412138946487,0.5653528459595925,0.565929581829705,1.0
20000,60,False,ac1,0.5,2,-0.25348865620046634,-0.25348865620046634,-0.31042644427222144,-0.1965508681287113,0.0
20000,60,False,variance,-0.5,2,0.2888344219083493,0.2888344219083493,0.2571514350443783,0.32051740877232027,0.0
20000,60,True,theory,0.5,2,0.5639068672296412,0.5639068672296412,0.5627673834926984,0.565046350966584,1.0
20000,60,True,ac1,0.5,2,-0.03442141985923235,-0.03442141985923235,-0.08445948986166521,0.015616650143200506,0.5
20000,60,True,variance,-0.5,2,0.08116769508631194,0.08116769508631194,0.06122352036591555,0.10111186980670835,0.0
20000,120,False,theory,0.5,2,0.5640871158364922,0.5640871158364922,0.5640545068769112,0.5641197247960731,1.0
20000,120,False,ac1,0.5,2,-0.064346502346826,-0.064346502346826,-0.13675461862063082,0.008061613926978807,0.5
20000,120,False,variance,-0.5,2,0.07697824251616316,0.07697824251616316,0.005613821115275773,0.14834266391705053,0.0
20000,120,True,theory,0.5,2,0.5636071339384745,0.5636071339384745,0.562774964266991,0.5644393036099581,1.0
20000,120,True,ac1,0.5,2,0.0032174207795981,0.0032174207795981,-0.005027135493913075,0.011461977053109274,0.5
20000,120,True,variance,-0.5,2,0.02661062955998415,0.02661062955998415,0.021801592989541152,0.03141966613042715,0.0
20000,240,False,theory,0.5,2,0.5644668183229491,0.5644668183229491,0.5641707906857439,0.5647628459601542,1.0
20000,240,False,ac1,0.5,2,0.0163190529838314,0.0163190529838314,-0.05581830481299706,0.08845641078065986,0.5
20000,240,False,variance,-0.5,2,-0.00033754297147645107,-0.00033754297147645107,-0.06878208104741669,0.06810699510446379,0.5
20000,240,True,theory,0.5,2,0.5653475164418804,0.5653475164418804,0.5646627693015525,0.5660322635822083,1.0
20000,240,True,ac1,0.5,2,0.0112675207718768,0.0112675207718768,0.005865864825913585,0.016669176717840014,1.0
20000,240,True,variance,-0.5,2,-0.00408972007716645,-0.00408972007716645,-0.013141080447465049,0.004961640293132147,0.5
