config,dataset,unit,n,ac1,p_rw,p_iaaft
A,WESAD,S7,174,0.5008017440775707,1.0,1.0
A,WESAD,S8,182,0.040423018320312226,1.0,1.0
A,WESAD,S9,174,0.31104060469958683,1.0,1.0
A,WESAD,S10,183,0.29801790592126,1.0,1.0
A,WESAD,S11,174,0.3757680203261619,0.7019867549668874,0.2185430463576159
A,WESAD,S13,184,0.3062195830815585,1.0,1.0
A,WESAD,S14,184,0.6002119329636371,1.0,1.0
A,WESAD,S15,175,0.1614420067448989,0.4768211920529801,0.10596026490066225
A,WESAD,S16,187,0.4178126401846456,1.0,1.0
A,WESAD,S17,197,0.46175443460013244,1.0,1.0
A,EXAM,Final,779,0.5473354029259536,0.019867549668874173,0.006622516556291391
A,EXAM,Midterm 1,372,0.5437739884563092,0.8344370860927153,0.36423841059602646
A,EXAM,Midterm 2,371,0.45573080728123494,0.31125827814569534,0.019867549668874173
A,EXAM,Final,769,0.6077512828804607,0.006622516556291391,0.006622516556291391
A,EXAM,Midterm 1,389,0.5719677753232788,0.15894039735099338,0.152317880794702
A,EXAM,Midterm 2,433,0.47169327524287064,0.44370860927152317,0.052980132450331126
A,EXAM,Final,844,0.452566160073657,1.0,1.0
A,EXAM,Midterm 1,399,0.6325073761466041,0.039735099337748346,0.046357615894039736
A,EXAM,Midterm 2,462,0.5421694943940999,0.046357615894039736,0.006622516556291391
A,EXAM,Final,860,0.525717319022179,0.37748344370860926,0.2251655629139073
A,EXAM,Midterm 1,407,0.6504304400928702,0.006622516556291391,0.006622516556291391
A,EXAM,Midterm 2,341,0.3520425210799755,0.6556291390728477,0.423841059602649
A,EXAM,Final,530,0.6137452261354082,0.543046357615894,0.6556291390728477
A,EXAM,Midterm 1,389,0.509646961059874,0.6291390728476821,0.4503311258278146
A,EXAM,Midterm 2,446,0.7494175430885693,1.0,1.0
A,EXAM,Final,508,0.37137951814966663,0.9006622516556292,0.26490066225165565
A,EXAM,Midterm 1,400,0.6162244428918447,0.006622516556291391,0.019867549668874173
A,EXAM,Midterm 2,400,0.4410226038118363,1.0,1.0
A,EXAM,Final,797,0.5073582765645647,0.47019867549668876,0.41721854304635764
A,EXAM,Midterm 1,371,0.5372440909665805,0.019867549668874173,0.033112582781456956
A,EXAM,Midterm 2,473,0.5755284149970082,1.0,1.0
A,EXAM,Final,654,0.5904697958675966,0.16556291390728478,0.152317880794702
A,EXAM,Midterm 1,412,0.5773311017486558,0.006622516556291391,0.013245033112582781
A,EXAM,Midterm 2,360,0.5256929140888902,0.2582781456953642,0.033112582781456956
A,EXAM,Final,596,0.5502732417831508,0.24503311258278146,0.10596026490066225
A,EXAM,Midterm 1,359,0.42753469960725693,1.0,1.0
A,EXAM,Midterm 2,332,0.5217449608469966,0.47019867549668876,0.23841059602649006
A,EXAM,Final,473,0.5049304156180449,1.0,1.0
A,EXAM,Midterm 1,422,0.6145499470604914,0.013245033112582781,0.0728476821192053
A,EXAM,Midterm 2,414,0.5214959801232366,0.4105960264900662,0.2847682119205298
A,NURSE,15_1594140175,260,0.22386949960461835,0.8211920529801324,0.40397350993377484
A,NURSE,6B_1587569373,520,0.20903465516529468,0.8079470198675497,0.26490066225165565
A,NURSE,7E_1603292452,552,0.2367803785882928,0.32450331125827814,0.152317880794702
A,NURSE,83_1603929757,1212,0.3273048786036751,0.6754966887417219,0.33112582781456956
A,NURSE,CE_1586788313,545,0.45135494058326875,0.7284768211920529,0.3841059602649007
A,NURSE,DF_1594231189,374,0.37694284935518757,0.6490066225165563,0.3443708609271523
A,NURSE,E4_1587206108,518,0.2663496905771312,1.0,1.0
