dataset,subject,state,n_episodes,mean_dwell,cv_observed,cv_geometric,overdispersion,ks_stat,ks_p
NURSE,7E_1603309557,overloaded,14,4.928571428571429,1.0012594463429494,0.8928053815224023,0.10845406482054709,0.2028985507246377,0.5450701940115331
NURSE,5C_1587297777,overloaded,57,8.631578947368421,1.4402640381897194,0.9402905622537188,0.4999734759360006,0.20276738470208833,0.015675425332200565
NURSE,5C_1587297777,stuck,138,1.5869565217391304,0.6150161167964906,0.6081636405595373,0.0068524762369532866,0.6301369863013699,1.3857073701751351e-53
NURSE,6B_1587653438,stuck,14,2.142857142857143,0.6565905201197404,0.7302967433402214,-0.07370622322048104,0.4666666666666667,0.0025794799970889626
NURSE,DF_1594305457,overloaded,32,9.34375,1.0978410516903476,0.9449743851707106,0.15286666651963698,0.14956595034458053,0.42950159835805757
NURSE,E4_1587241555,overloaded,22,9.681818181818182,2.209412816201555,0.9469496370047744,1.2624631791967809,0.4937704826210627,1.7831430677806066e-05
NURSE,E4_1587241555,stuck,13,3.6153846153846154,1.3399188505390458,0.8505317485662419,0.4893871019728039,0.3387888707037643,0.07807778169704904
NURSE,15_1594220239,overloaded,33,6.96969696969697,1.3028397078489076,0.9254845969168989,0.3773551109320087,0.18817494414847896,0.16973897986911513
NURSE,6D_1594910470,overloaded,31,9.64516129032258,1.6283882190235464,0.9467423462770184,0.681645872746528,0.23897120286741003,0.04835201762580554
NURSE,EG_1603574790,overloaded,20,7.2,1.0500587873019889,0.927960727138337,0.12209806016365188,0.28852451989026073,0.05734075468900013
NURSE,15_1594238057,overloaded,11,6.181818181818182,1.260252075625209,0.9155519068396106,0.3447001687855983,0.2927807486631016,0.24917668440583318
NURSE,15_1594238057,stuck,8,2.75,0.6982859770789643,0.7977240352174656,-0.09943805813850126,0.36363636363636365,0.18699930179428093
NURSE,5C_1587569014,overloaded,20,15.6,1.8235348698155645,0.9674179220468452,0.8561169477687193,0.31975631753738265,0.02558715353799501
NURSE,E4_1587302737,overloaded,15,9.2,1.4497463002966045,0.9440891630699332,0.5056571372266713,0.3747397331579956,0.021205558902661403
NURSE,6D_1595339521,overloaded,12,12.333333333333334,1.2527544524137069,0.9586025865388216,0.2941518658748853,0.275946143367619,0.26731420753098145
NURSE,7A_1587643240,overloaded,129,5.837209302325581,3.773496604641212,0.9103215140620062,2.8631750905792055,0.3766417390446244,6.008146742374699e-17
NURSE,7A_1587643240,stuck,89,2.730337078651685,1.4760531551167704,0.7960809355631362,0.6799722195536342,0.3662551440329218,3.2755230397564203e-11
NURSE,5C_1587593875,overloaded,8,8.625,0.857770246780156,0.940243570046875,-0.08247332326671897,0.21844150388573824,0.7666794548839844
NURSE,5C_1587593875,stuck,8,1.125,0.2939723678960656,0.3333333333333334,-0.0393609654372678,0.8888888888888888,4.646114625083771e-08
NURSE,6D_1595523837,overloaded,28,7.535714285714286,1.5387816220320791,0.9312886653444528,0.6074929566876264,0.35934968088895436,0.000960584945494336
NURSE,6D_1595523837,stuck,11,3.1818181818181817,1.0364775512695459,0.828078671210825,0.20839888005872087,0.3142857142857143,0.18297753421024776
NURSE,DF_1594991923,overloaded,29,14.448275862068966,1.5652103744451407,0.9647733358145875,0.6004370386305532,0.2891609102799884,0.01216781903418196
NURSE,DF_1594991923,stuck,9,1.0,0.0,3.16227779099239e-05,-3.16227779099239e-05,0.9999999989999999,2.000001489327171e-81
NURSE,7E_1603719136,overloaded,23,8.173913043478262,1.5607510583058128,0.9368348704377336,0.6239161878680792,0.15855841941791704,0.5564921602152317
NURSE,EG_1603972494,overloaded,38,8.736842105263158,1.2253669527798672,0.9410325013912637,0.28433445138860347,0.19389337678278973,0.10007489631952848
NURSE,F5_1594647650,overloaded,19,19.31578947368421,1.9121077463179459,0.9737704466832968,0.9383372996346491,0.4787482571813285,0.00015871304589068494
NURSE,6B_1590172247,overloaded,26,9.807692307692308,1.6612507158138423,0.9476493104974406,0.7136014053164017,0.1935255670895809,0.25020232091959516
NURSE,83_1604314003,overloaded,11,16.454545454545453,1.3239856285123297,0.9691369971975152,0.3548486313148145,0.24193143331005718,0.4682621242719409
NURSE,DF_1595337957,overloaded,33,13.93939393939394,1.1694884409905837,0.9634629570280413,0.2060254839625424,0.22732064406121633,0.05571416319546263
NURSE,F5_1594671025,overloaded,15,5.866666666666666,1.5218790038893826,0.9107938595233581,0.6110851443660245,0.17084810527798655,0.7123482923980877
NURSE,F5_1594671025,stuck,10,2.4,0.5951190357119042,0.7637626158259733,-0.1686435801140691,0.41666666666666674,0.04364602569901421
NURSE,15_1595334888,overloaded,20,6.45,1.7239829060268606,0.9192177328087603,0.8047651732181003,0.25973816425086216,0.11166831227747454
