dataset,subject,lrt_stat,p_nested,alpha0_full,n_boot,lam_t_obs,lam_t_null_p95,p_rw_lam_t,lr_obs,lr_null_p95,p_rw_lr,bimodality_obs,bimodality_null_p95,p_rw_bimodality,alpha0_obs,alpha0_null_p95,p_rw_alpha0
EXAM,S10,0.9599608129890385,0.6633663366336634,-31.99019963134206,100,1.5239633350722797,2.785555189455722,0.46534653465346537,0.9599608129890385,10.45036246723771,0.900990099009901,15.466514496571563,246.97789478718892,0.7623762376237624,-31.99019963134206,21.407286108885973,0.978494623655914
EXAM,S2,9.58860946717732,0.009900990099009901,,100,0.0,3.0353213794671694,1.0,9.58860946717732,9.329950050879047,0.0594059405940594,3.4677632605184954,472.323425768881,0.9207920792079208,,29.430493183879268,
EXAM,S2,2.368142225589054,0.3465346534653465,-4.339217121679982,100,3.5017073052477845,3.403665401433221,0.04950495049504951,2.368142225589054,11.70549985731299,0.6534653465346535,98.36110781217326,253.482729085758,0.40594059405940597,-4.339217121679982,39.02813011567639,0.8571428571428571
EXAM,S2,4.246670298319259,0.16831683168316833,-4.919103857987403,100,3.2445643024470594,3.2068865161654245,0.0594059405940594,4.246670298319259,12.070654717568273,0.46534653465346537,44.552499650956406,289.4778209876383,0.6435643564356436,-4.919103857987403,22.22456032902386,0.9052631578947369
EXAM,S3,1.2966521341013504,0.504950495049505,-42.02198531811535,100,1.8980520551688063,3.0825906957064952,0.36633663366336633,1.2966521341013504,11.127334936547763,0.8811881188118812,31.701367571895844,566.345039158292,0.8316831683168316,-42.02198531811535,21.328899857523457,0.989247311827957
EXAM,S3,25.266595294168837,0.009900990099009901,-8.529113600380075,100,4.656497820735142,3.211066089957044,0.009900990099009901,25.266595294168837,11.505010942597538,0.009900990099009901,77.0489206409809,280.61409621829046,0.4158415841584158,-8.529113600380075,20.194458012527026,0.9139784946236559
EXAM,S3,30.436849269047798,0.009900990099009901,-95.88336930837586,100,1.0108301958106538,3.0172894955013976,0.6831683168316832,30.436849269047798,9.843852615581458,0.009900990099009901,-6.230741716356988,214.4319351893694,0.9504950495049505,-95.88336930837586,31.01101280013162,1.0
EXAM,S4,44.55005322297757,0.009900990099009901,-59.31669905407616,100,1.4298324006870866,3.4750973658027107,0.4752475247524752,44.55005322297757,11.981943728670375,0.009900990099009901,5.256479561600372,361.91315227656617,0.8811881188118812,-59.31669905407616,31.110017302370863,1.0
EXAM,S4,6.652233303109597,0.06930693069306931,-75.62236100667532,100,1.271048868838188,3.026633255267654,0.5544554455445545,6.652233303109597,13.534085465889643,0.2079207920792079,40.05291791163677,260.40658298482555,0.6138613861386139,-75.62236100667532,32.94723170138327,0.989010989010989
EXAM,S4,20.000654494338505,0.5148514851485149,,100,0.0,3.043540003219705,1.0,20.000654494338505,10.622976806050362,0.009900990099009901,49.779747449267234,361.7028087486671,0.6534653465346535,,20.525828429939896,
EXAM,S5,7.789404570192346,0.04950495049504951,-513.3739250298568,100,0.18076072979184435,3.0982078117857514,0.8910891089108911,7.789404570192346,10.354562080233748,0.13861386138613863,-5.092508343321242,287.78607342037793,0.9306930693069307,-513.3739250298568,24.555604528324572,1.0
EXAM,S5,16.873659538034644,0.009900990099009901,-13.276842934758728,100,3.414974330587429,3.1563399985662173,0.039603960396039604,16.873659538034644,11.439989470367143,0.019801980198019802,123.07909834815678,328.0953508025165,0.36633663366336633,-13.276842934758728,25.877763311745216,0.9666666666666667
EXAM,S5,2.3963237418915924,0.1188118811881188,,100,0.0,2.800025636012777,1.0,2.3963237418915924,10.185601907124408,0.6336633663366337,-3.4847612536229917,267.15569983449785,0.8415841584158416,,33.976646808629596,
EXAM,S6,6.22774742415686,0.019801980198019802,-66.99711296851926,100,1.571799070128339,3.1609944035428805,0.37623762376237624,6.22774742415686,8.679530429601892,0.16831683168316833,-19.12250056916355,505.8687498112114,1.0,-66.99711296851926,18.110099585124985,1.0
EXAM,S6,6.821076565402109,0.0297029702970297,-15.36541694536847,100,3.6176974378396274,3.4912892158122557,0.0594059405940594,6.821076565402109,15.462052008855963,0.1782178217821782,129.5070801466884,226.8782606611368,0.1782178217821782,-15.36541694536847,19.12937840522845,0.9425287356321839
EXAM,S6,3.98837517838615,0.0297029702970297,,100,0.0,2.9652982873033804,1.0,3.98837517838615,13.545012369013639,0.43564356435643564,4.297461205051604,296.48730279413917,0.8811881188118812,,23.879642454322525,
EXAM,S7,23.559131193249414,0.009900990099009901,-35.82878323520081,100,2.3197258864242247,2.906436558732645,0.2079207920792079,23.559131193249414,10.56194102268583,0.009900990099009901,20.194981698893116,415.0337436010741,0.7821782178217822,-35.82878323520081,27.9841290729454,0.978021978021978
