dataset,subject,var_exponent,var_ci_lo,var_ci_hi,var_r2,var_p_vs_pred,var_n,ac1_exponent,ac1_ci_lo,ac1_ci_hi,ac1_r2,ac1_p_vs_pred,ac1_n,kendall_tau_var,kendall_p_surrogate,n_onsets,auc_lead3,auc_lead6,auc_lead12
NURSE,DF_1594305457,0.25859178753062256,0.1693338191235707,0.3511582099048143,0.06364076765558187,0.0009995002498750624,387,-0.013011763746858845,-0.05643919997166102,0.03119492456203612,0.0008789940603200108,0.0009995002498750624,387,0.4855276381909548,0.08955223880597014,26,0.5532544378698225,0.5192307692307693,0.46634615384615385
NURSE,E4_1587241555,-0.14108033330046293,-0.37557897870694396,0.060442443738530756,0.012035240188098784,0.010994502748625687,134,-0.022083262588636392,-0.11015670936375213,0.05630030783078418,0.0021691954619690403,0.0009995002498750624,134,0.34673366834170855,0.22885572139303484,15,0.5222222222222223,0.4911111111111111,0.4380952380952381
NURSE,15_1594220239,0.4590033053961828,-0.39666487773301085,1.5059685665112499,0.009024864261915863,0.029985007496251874,96,-0.8697068040218054,-1.410660894927822,-0.3447115504892265,0.10068745811478655,0.0009995002498750624,94,-0.22452261306532662,0.23880597014925373,24,0.4488095238095238,0.42857142857142855,0.4483333333333333
NURSE,5C_1587336033,,,,,,6,,,,,,6,,,5,0.4444444444444444,,
NURSE,6D_1594910470,-0.06999726370576927,-0.12070936970818023,-0.02128330066027432,0.015300725912435153,0.0009995002498750624,409,-0.014884482634080893,-0.061972466750979525,0.029968651433176223,0.001217457794854882,0.0009995002498750624,409,-0.12442211055276381,0.3582089552238806,26,0.5445134575569358,0.38203463203463206,0.38795518207282914
NURSE,7A_1587326219,0.31828233778276493,-0.13931167530082486,1.0628576066217854,0.039307951357467695,0.0009995002498750624,56,0.06647635007589899,-0.03476271141526318,0.3014951552299526,0.010786554931906634,0.001999000499750125,56,-0.8863387978142077,0.9800995024875622,2,,,
NURSE,EG_1603574790,-1.1587592861385791,-1.3852176521575117,-0.9384338520292611,0.30844818201628316,0.0009995002498750624,360,0.006757509323195982,-0.07469959785086558,0.08817416106118266,7.345362582532719e-05,0.0009995002498750624,360,0.38623115577889444,0.06467661691542288,19,0.5130718954248366,0.5441176470588235,0.6357466063348416
NURSE,15_1594238057,0.10054716784477205,-0.07428893963698142,0.2887084366451653,0.04518032345640972,0.0009995002498750624,43,0.011786645184729211,-0.1427875559194454,0.11724416244643679,0.0007120580877427627,0.0009995002498750624,43,0.02132796780684105,0.004975124378109453,7,0.5,,
NURSE,E4_1587298478,,,,,,7,,,,,,7,-0.2484746475909952,0.04975124378109453,2,,,
NURSE,5C_1587569014,,,,,,0,,,,,,0,0.10472361809045226,0.22388059701492538,17,0.4270833333333333,0.4479166666666667,0.5644444444444444
NURSE,6B_1588961203,,,,,,13,,,,,,13,-0.15812861042341145,0.6218905472636815,6,0.7,0.5666666666666667,0.45
NURSE,DF_1594757884,,,,,,15,,,,,,15,,,5,,,
NURSE,E4_1587302737,-0.027741312656345662,-0.4212100271314992,0.34089833359972105,0.0003436936606721626,0.020989505247376312,90,0.001995195146910238,-0.10767656285335377,0.14582607197569913,6.903514343475066e-06,0.0009995002498750624,90,0.17807080066524117,0.18407960199004975,12,0.4409722222222222,0.3560606060606061,0.2760416666666667
NURSE,6D_1595339521,0.05191398768803158,-0.08834440684851895,0.20495864268687197,0.004989126547835031,0.0009995002498750624,83,0.028278444871838147,-0.03461324367465661,0.08967183438870652,0.007332241854014249,0.0009995002498750624,83,-0.05768844221105528,0.31840796019900497,11,0.48760330578512395,0.45454545454545453,0.42424242424242425
NURSE,7A_1587643240,0.3534599931380637,0.25017445952656464,0.4642343405270938,0.0315060789355725,0.0009995002498750624,958,-0.012278780587909622,-0.0858996779575489,0.06584619001001336,0.00010344457002740301,0.0009995002498750624,968,-0.05507537688442211,0.06965174129353234,84,0.4901107594936709,0.48870192307692306,0.5346435709526982
NURSE,8B_1594320348,-0.14244253104695184,-0.26644189814474856,-0.07158756721745956,0.37342363998306394,0.001999000499750125,20,0.015724456228181784,-0.035007315507631476,0.06712011159115545,0.01117361835921443,0.0009995002498750624,20,,,4,,,
NURSE,15_1594325201,-0.1355401201874879,-0.2745999400461374,-0.027841201694590503,0.050516473565993994,0.0009995002498750624,98,-0.13275161898630033,-0.376748251686189,0.01994654786387081,0.027723437568170688,0.0009995002498750624,98,-0.20473339036213292,0.01990049751243781,5,0.375,0.6666666666666666,
NURSE,5C_1587593875,-0.009284338209513385,-0.23966513181226384,0.3533972378234543,4.9503907659317854e-05,0.001999000499750125,81,-0.04110822910755962,-0.21688309375546458,0.17619163432664633,0.002373502958740021,0.0009995002498750624,81,0.26583592938733125,0.04975124378109453,8,0.5714285714285714,0.5714285714285714,0.32142857142857145
NURSE,6B_1589052301,0.05565087288333127,-0.10015538469911323,0.22449285947150077,0.006412811225562142,0.0009995002498750624,83,-0.04771048199911543,-0.14252679862908577,0.054719715618562634,0.00947326446349894,0.0009995002498750624,83,-0.042391304347826085,0.40298507462686567,7,0.8125,0.5833333333333334,0.3333333333333333
