dataset,subject,CHM,Markov,Logistic,HMM,OU,GBM
NURSE,6B_1590172247,-4.049201242677837,-0.7505801905113418,,-6.9342142232978485,-4.6630588330985985,-81.50003917545145
NURSE,6B_1592996203,0.24466148823436681,-0.8688045667458525,,-5.695959388922816,0.24884071248591902,-7.597137648246969
NURSE,6B_1593091155,0.5910759655143163,-0.8139470601157373,,-6.269203082451303,0.8271127210235563,-26.950383461990697
NURSE,6B_1593168956,-0.2356210495267209,-0.6597001786864796,,-6.2818400139997035,-0.07677651629651736,-5.5923684655526085
NURSE,6B_1593427701,0.3883776173338586,-0.9813182467753923,,-8.950764875088039,0.7153387670781646,-47.149135914549994
NURSE,6B_1593446044,1.0375129595801358,-0.5823895108558576,,-7.659450805256635,1.0545255875274584,-29.831041665781846
NURSE,6B_1593514692,0.495220042525539,-0.8330053594979756,,-11.022616312964795,0.5816619357656438,-61.24213204167131
NURSE,6D_1594831043,0.009670958149199271,-0.3944793275944679,,-5.046862807764477,0.28050929299952143,-10.963126842631892
NURSE,6D_1594998483,0.54999829518966,-0.8821818150029215,,-5.524664934110212,0.5158331855841053,-27.447878832707165
NURSE,6D_1595339521,1.6299324602183671,-0.4409582424509469,,-23.236439728587257,1.4646969582926594,-32.14182213815503
NURSE,6D_1595523837,-0.7137844336999688,-0.7006020920637029,,-5.515984295374422,-0.6798463845023944,-6.399060758785742
NURSE,7A_1587228286,0.3858949366102651,-0.5832986444517959,,-5.606236939699686,1.116159928562075,-41.613325662626245
NURSE,7A_1587556854,0.8394923668526555,-0.6122190568214564,,-4.807228277190549,0.15106428255643722,-13.487354761998992
NURSE,7A_1588977047,-3.1903988055830808,-0.852385852001588,,-10.227710674787655,0.14888908882707008,-110.75242976597747
NURSE,7A_1589025873,0.9070990217533869,-1.1316392244325293,,-4.850499501591801,0.9184506376431754,-18.84755752542504
NURSE,7A_1593177044,0.15877620851470742,-0.6096306904186639,,-6.2666184601695285,0.2075483878694447,-13.203536603099499
NURSE,7A_1593192268,0.3463050153273773,-1.029851981599128,,-32.312323611587225,0.7562806990075562,-23.478690868503477
NURSE,7A_1593534070,0.7367841051597851,-0.7808317983126943,,-7.1131945392464315,0.7860130385157406,-28.431810277170833
NURSE,7A_1593609973,0.8234781691133425,-0.9546471320181859,,-6.877991873888815,0.9604382720527507,-16.680631231579557
NURSE,7A_1593709119,0.45852964944968855,-0.6323836058203146,,-5.460926181867508,0.47171296546496266,-6.110751339138659
