rep,param,true,est
7,beta_T,0.1818271269329118,0.27356121594009436
7,beta_U,0.29191329589327675,0.3368143123775348
7,alpha0,1.740229843747144,1.6312530838904447
7,alpha_A,0.6701223986041879,0.7501849211339663
7,lam,0.12864213581407952,0.1292956075753401
7,sigma,0.33295075543126235,0.32668654026936667
7,eps,0.048113355133183815,0.05089911227550431
8,beta0,-0.2688280015441845,-0.24719340916994798
8,beta_S,0.624140749785206,0.6266255593794631
8,beta_T,0.4854564080669874,0.48610873197142845
8,beta_U,0.1765200117497961,0.17352186844547113
8,alpha0,1.228917893813529,1.2496037354902527
8,alpha_A,0.35174712435671396,0.3338861720609371
8,lam,0.20183881784143257,0.205773664933229
8,sigma,0.3240729361419983,0.32490283751737586
8,eps,0.046583750417992,0.05003735708538659
9,beta0,0.38507093511634205,0.4198227759669882
9,beta_S,0.41352280220645965,0.4463401280823964
9,beta_T,0.4473859031244834,0.4563605425609923
9,beta_U,0.0690320424926583,0.06669657756857428
9,alpha0,0.46347647941205683,0.46485840116591015
9,alpha_A,0.5807821530406182,0.5569162023388736
9,lam,0.2635557318684988,0.25717043049132954
9,sigma,0.28907780633065006,0.2898518014894018
9,eps,0.049913113351397254,0.0438050507997187
10,beta0,0.28995125769832053,0.3071303899539172
10,beta_S,0.3165652570070283,0.3167563677718189
10,beta_T,0.20891582543287635,0.20208802849411284
10,beta_U,0.0725827143559747,0.048648045532176644
10,alpha0,0.31267719683591644,0.37471782631337447
10,alpha_A,1.1815556684095005,1.145306385491824
10,lam,0.27933778876865345,0.28144469163552277
10,sigma,0.3454255286780738,0.35076170676912705
10,eps,0.036755433435101556,0.03633089589032782
11,beta0,-0.1868185314777062,-0.1656760055656354
11,beta_S,0.44218161342886375,0.47056346172762253
11,beta_T,0.21833007691728362,0.2657379215843596
11,beta_U,0.2894651376626445,0.2981095983329706
11,alpha0,1.1784947257120368,1.1665516359687003
11,alpha_A,0.37260347871036315,0.37140169486737934
11,lam,0.16348692818652089,0.1668074673875005
11,sigma,0.29008263693022485,0.28590135720566295
11,eps,0.06928874368611856,0.10207385913536272
12,beta0,0.27687800976227905,0.2802763778043615
12,beta_S,0.7550600929633655,0.7502988233437067
12,beta_T,0.22123459482875135,0.20967949804369684
12,beta_U,0.3392365417991546,0.2985763441936277
12,alpha0,0.49276345125694737,0.272263690340657
12,alpha_A,0.38439975793032066,0.6555728564758596
12,lam,0.16750987544344037,0.16800956757455862
12,sigma,0.4460402823141575,0.447931159371726
12,eps,0.07158370515030978,0.018759117018425978
13,beta0,-0.06228730835990348,-0.07899577931163018
13,beta_S,0.37462904311859857,0.36027747582511
13,beta_T,0.38743652430821274,0.2765774422366633
13,beta_U,0.018052935906048753,0.025510667707961794
13,alpha0,1.5644045312295582,1.5629977245784936
13,alpha_A,0.7440404857005566,0.7605036294102053
13,lam,0.10937597390742618,0.11108388711039927
13,sigma,0.4381052083445124,0.44057855623956016
13,eps,0.0564526776714594,0.06972712796321508
14,beta0,-0.29590710083084587,-0.29095672977090037
14,beta_S,0.3635939017819476,0.36598570697944016
14,beta_T,0.35954133037877245,0.32414977518554605
14,beta_U,0.023031366748205162,0.01972987688011726
14,alpha0,0.671246071794136,0.646169660459797
14,alpha_A,1.1064683830223194,1.1342595561038418
14,lam,0.14696869859776646,0.152754021301991
14,sigma,0.28720176198830855,0.2899627165652534
14,eps,0.04178237831458227,0.03498670329471736
15,beta0,0.2621557550421125,0.2969945084461747
15,beta_S,0.39633266920000765,0.38273114880629916
15,beta_T,0.23968416494133582,0.3582986195585328
15,beta_U,0.09653844829504986,0.051205945794200416
