dataset,subject,n_entry,n_exit,mean_entry_b,mean_exit_b,observed_width,a_bar,predicted_width,t,p
NURSE,15_1595857850,14,13,2.6648283487621307,-0.2134267366573343,2.878255085419465,,,1.720774455944072,0.10545333363033599
NURSE,15_1595871983,88,88,6.944825906027679,6.12972227753912,0.8151036284885596,,,0.9778424616101896,0.32951024041427435
NURSE,15_1595947283,23,24,-1.3301485687194416,-1.6504454479387751,0.3202968792193335,,,0.2607657519390984,0.7954829642198812
NURSE,15_1595953571,106,106,0.14087743339161105,2.3580180218055187,-2.2171405884139075,,,-1.279543298017295,0.20213442800908965
NURSE,15_1596219716,12,13,-15.189289820568325,-0.5831268552134449,-14.60616296535488,,,-0.15140388878192498,0.8812751177591372
NURSE,15_1596222922,33,32,61.15926951705603,43.91109311869951,17.24817639835652,,,0.5212657853203781,0.6040509076381088
NURSE,15_1596551659,96,96,4.855241576754939,-0.6136152133681575,5.4688567901230964,,,0.6728952782100395,0.5018363429398229
NURSE,15_1596648020,39,39,9.570468541216481,9.977107945646804,-0.4066394044303223,,,-0.12208929605896045,0.9031552690724505
NURSE,5C_1586886712,61,60,3.9580246816414455,3.456697481670758,0.5013271999706874,4.012535875869658,6.18737590714032,0.3710506208825665,0.7112778060158885
NURSE,5C_1587336033,17,17,-11.149799884685821,-15.357898933829109,4.2080990491432875,,,0.7709723793960582,0.446694117653765
NURSE,5C_1587569014,143,142,-2.898273363055873,-4.040736516344345,1.142463153288472,,,0.9208373107902472,0.3579197272370228
NURSE,5C_1588974475,50,49,0.5395285249681012,-0.10908967537472229,0.6486182003428235,,,0.07021045527619073,0.9441730842449865
NURSE,5C_1589286789,71,71,11.964711508284438,13.22632298959719,-1.2616114813127517,,,-0.7739793191118117,0.4402517958074973
NURSE,5C_1589298448,176,176,9.031971541502838,8.962736384862696,0.06923515664014168,,,0.014002708407708024,0.9888357986106199
NURSE,5C_1589803857,199,199,-3.193179198225096,-3.248240481264929,0.05506128303983271,,,0.07877570559641539,0.9372508915605292
NURSE,5C_1589889161,237,237,-8.127365236447377,-9.067787775525058,0.9404225390776819,0.8991118579330362,0.65629439818008,0.6246818605029774,0.5324817263473269
NURSE,5C_1592926305,149,149,-0.41508269388982855,-0.7205694402584539,0.3054867463686254,,,0.782845274131671,0.43437497374604184
NURSE,5C_1593006542,83,82,2.6847437973283315,5.377051692957931,-2.6923078956295994,,,-0.47433828115006477,0.6358961452068845
NURSE,5C_1593018622,83,82,1.047267025208278,4.304865746254847,-3.257598721046569,0.030152260642566375,0.004030490734729814,-1.0971697756203547,0.2742204121453708
NURSE,5C_1593094946,114,113,-57.37032072359344,-64.7128731250727,7.342552401479267,,,0.4557331749645118,0.6490233985357325
NURSE,6B_1587569373,113,113,-25.113552700547793,-23.296472873910837,-1.8170798266369559,,,-0.19170337372638738,0.848148823707242
NURSE,6B_1587653438,44,43,-43.86889333304617,-57.066625520620114,13.197732187573948,,,0.3665983546439984,0.7148360006162764
NURSE,6B_1588961203,37,37,11.359375704205988,51.967374614626,-40.607998910420015,,,-1.099187169962875,0.27571007135773795
NURSE,6B_1589901451,35,35,-14.695028247861897,-6.976854524873632,-7.718173722988265,,,-0.5584147634524025,0.578401317344942
NURSE,6B_1592925729,40,39,8.28892567508348,7.055786047291497,1.2331396277919824,,,0.5149220279224639,0.6080849458559219
NURSE,6B_1593024104,47,46,5.502897256678859,5.526852413656174,-0.02395515697731465,,,-0.002847858518918575,0.9977340482551396
NURSE,6B_1593083317,20,19,-17.122956600967797,5.69070701491951,-22.813663615887307,,,-1.4698684727338964,0.15043670236347553
NURSE,6B_1593101741,36,37,1.2841652528909984,7.264256986643995,-5.980091733752997,,,-1.5618471599731303,0.12277914134437486
NURSE,6B_1593110897,46,46,-1.7730908523703741,-5.0976376578665565,3.3245468054961824,,,0.7256808422550987,0.4699328302611244
NURSE,6B_1593176942,39,39,11.3321093665059,5.645469389050269,5.6866399774556315,,,0.5110276081844064,0.6108167084255975
NURSE,6B_1593191957,34,34,-5.269562147768222,-16.992895232346683,11.72333308457846,,,1.6769651881576475,0.09848425120682602
NURSE,6B_1593427701,68,67,12.557919107761753,-17.994282512690706,30.552201620452458,,,1.7549107296996864,0.08159999053175958
NURSE,6B_1593437366,27,26,1.9365876175742125,2.2271650801429503,-0.29057746256873784,,,-0.13378658382506442,0.8941167399971628
NURSE,6D_1594757863,12,11,-9.095885684017338,-10.310787452056855,1.2149017680395175,,,0.21117767998736642,0.8349493103214102
NURSE,6D_1594831043,51,50,32.45791245273195,19.396058954711513,13.061853498020433,,,1.3499864353946798,0.1802395432316779
NURSE,6D_1594910470,144,144,16.069262110509282,16.42328534221409,-0.354023231704808,,,-0.08704429110024156,0.9306985609377896
NURSE,7A_1587228286,123,122,4.321112330163874,4.013714987098677,0.3073973430651975,,,0.6499435579644306,0.5163430141896383
NURSE,7A_1587298286,85,86,-11.25655255410775,-10.785838394068183,-0.47071416003956656,,,-0.06222632115791946,0.9504561951325388
NURSE,7A_1587583295,121,122,16.882836649840943,18.317122191034166,-1.4342855411932227,,,-0.9882650149202057,0.3240193293367658
NURSE,7A_1587643240,315,316,147.7655148062677,140.77117264221147,6.994342164056235,,,0.1578684965853448,0.874611088807844
NURSE,7A_1588977047,55,54,49.61969896561877,69.70297841302937,-20.083279447410604,,,-0.6747075712138658,0.5013198476080978
NURSE,7A_1589055551,11,10,2.7927587845743607,4.474371761127482,-1.681612976553121,,,-0.47044124717297964,0.6438671000013612
NURSE,7A_1592941276,33,33,9.639480606420907,8.44696108021621,1.1925195262046966,,,0.7057280612723164,0.48306694207479506
NURSE,7A_1593091052,34,34,134.16042480672354,125.69057990541727,8.469844901306274,,,0.37657867419725444,0.7076954317929592
NURSE,7A_1593115159,28,27,32.48826625610574,30.51999017731927,1.9682760787864702,,,0.0669825170741643,0.9468663729052317
NURSE,7A_1593177044,106,105,1.0958581077757932,1.6710386893039721,-0.575180581528179,1.6133277034344715,1.577473224303688,-0.5652096500660345,0.5725410869439296
NURSE,7A_1593436174,31,32,7.821925205409167,6.896961654947429,0.9249635504617384,,,0.3774455878904443,0.7072178627556538
NURSE,7A_1593527735,26,25,7.280310584389516,6.920166114092285,0.3601444702972314,,,0.3990036347153049,0.6916316229498398
