dataset,subject,n,beta0,beta_S,beta_T,beta_U,alpha0,alpha_A,lam,sigma,eps,identified,mean_a,mean_b,pct_bistable,nll,aic,cusp_identified,lam_t,lam_p_nominal,pct_calm,pct_focused,pct_stuck,pct_overloaded,pct_recovering
NURSE,15_1595347920,71,-39.74908860231074,40.52141165198271,42.64068549482528,39.09546646805385,-156.38282174324442,30.135954334229293,0.005653849501907109,1.8114200318390086,0.3,True,-132.75336680461328,2.1160067891580976,0.0,140.91347332040078,299.82694664080157,True,0.2629320074387417,0.3967304837212721,0.22535211267605634,0.29577464788732394,0.0,0.4788732394366197,0.0
NURSE,15_1595360012,60,,,,,,,0.0,1.6403333127807853,0.015303683046110747,False,,,,112.91644163956366,243.83288327912732,False,0.0,0.5,0.0,0.0,0.0,0.0,0.0
NURSE,15_1595425036,172,94.874195510685,112.42591035875895,-131.36538146135157,98.25732480209055,-588.6748308237568,-371.97979302275945,0.0009727675739960517,1.592424430736131,0.3,True,-865.1123516024337,128.03304187216182,0.0,322.1975480310351,662.3950960620703,True,0.06247360846885282,0.47513087668071075,0.2616279069767442,0.22093023255813954,0.0,0.5174418604651163,0.0
NURSE,15_1595433234,192,,,,,,,0.0,1.598055399869201,0.3,False,,,,360.5556752064661,739.1113504129322,False,0.0,0.5,0.0,0.0,0.0,0.0,0.0
NURSE,15_1595446619,237,-6.347883075569935,-1.5687482558442025,3.0830003385407947,4.55304657220231,-39.54443162908149,22.589082309034264,0.024366369683092883,1.6833517682354802,0.023128100328965912,True,-27.412342534132858,-3.2793989041882896,0.0,457.77520364904836,933.5504072980967,True,2.094537978182472,0.018655792104662405,0.27848101265822783,0.22784810126582278,0.0,0.4936708860759494,0.0
NURSE,15_1595592772,244,,,,,,,0.0,1.5170110154824548,0.011189011522316038,False,,,,446.07036026173665,910.1407205234733,False,0.0,0.5,0.0,0.0,0.0,0.0,0.0
NURSE,15_1595600598,115,,,,,,,0.0,1.5882171722202747,0.001,False,,,,214.49677353047417,446.99354706094834,False,0.0,0.5,0.0,0.0,0.0,0.0,0.0
NURSE,15_1595608145,313,,,,,,,0.0,1.6306722512921858,0.3,False,,,,595.2744367769267,1208.5488735538534,False,0.0,0.5,0.0,0.0,0.0,0.0,0.0
NURSE,15_1595854651,73,,,,,,,0.0,1.6524115010256393,0.10676443087936441,False,,,,138.32454743392125,294.6490948678425,False,0.0,0.5,0.0,0.0,0.0,0.0,0.0
NURSE,15_1595857850,73,3.1455338824107075,0.810022791488109,-4.29187628769417,0.13498878712774126,-13.886348970479377,4.306738379930321,0.047934011994367816,1.6472946518538658,0.3,True,-10.871476862981941,1.411005833694361,0.0,138.10124668009496,294.2024933601899,True,1.8421658041838367,0.03500649524660024,0.2465753424657534,0.3150684931506849,0.0,0.4383561643835616,0.0
NURSE,15_1595871983,446,3.629110941947267,0.592456881357745,3.108337195440896,3.8190742820497134,-52.35536925322609,23.163310661288545,0.021556084703125217,1.5547952477048586,0.02519399830378148,True,-36.09439747196567,7.038799439510591,0.0,827.8256665156825,1673.651333031365,True,2.2080946222928977,0.013877532214593025,0.24887892376681614,0.21973094170403587,0.0,0.531390134529148,0.0
NURSE,15_1595940277,208,,,,,,,0.0,1.5362193830592075,0.3,False,,,,382.59043794546244,783.1808758909249,False,0.0,0.5,0.0,0.0,0.0,0.0,0.0
NURSE,15_1595947283,101,-0.5329729645898469,1.8387120206505003,-1.3919670118538836,3.606601408407631,-23.56075899767544,105.58804612363434,0.035192577261254486,1.6187639442102066,0.001,True,-20.44573188161831,-0.7883204570167249,0.0,190.0601393817193,398.1202787634386,True,1.5343591077416436,0.06416821162039563,0.25742574257425743,0.22772277227722773,0.0,0.5148514851485149,0.0
NURSE,15_1595953571,492,-2.046134315803948,-14.729882589122756,2.9678374203457034,2.1964888378655774,-160.1640070451619,28.099487285035266,0.0059683738931664175,1.6823829426760255,0.3,True,-139.7376965512782,1.6537514625998118,0.0,952.1225222783463,1922.2450445566926,True,0.6548495714939443,0.2564378464824264,0.23577235772357724,0.24796747967479674,0.0,0.516260162601626,0.0
NURSE,15_1596027852,282,,,,,,,0.0,1.6775286636987325,0.3,False,,,,544.089119031113,1106.178238062226,False,0.0,0.5,0.0,0.0,0.0,0.0,0.0
NURSE,15_1596037241,436,,,,,,,0.0,1.6840328406384806,0.004091768491064559,False,,,,843.9565284246299,1705.9130568492599,False,0.0,0.5,0.0,0.0,0.0,0.0,0.0
NURSE,15_1596204744,402,,,,,,,0.0,1.466848767737277,0.001,False,,,,722.624029967357,1463.248059934714,False,0.0,0.5,0.0,0.0,0.0,0.0,0.0
