dataset,subject,n_entry,n_exit,mean_entry_b,mean_exit_b,observed_width,a_bar,predicted_width,t,p
NURSE,15_1595425036,8,8,0.17908515548448783,-1.759701080403424,1.938786235887912,3.267322487086285,4.5463839713958905,1.377743031716436,0.19698917674551197
NURSE,15_1595433234,14,15,-6.201563679749917,-0.1539808360202734,-6.047582843729644,9.008801829214594,20.815107575175993,-2.148304061109966,0.04096840715574478
NURSE,15_1595446619,9,9,0.6056702828441995,-0.35681584804218924,0.9624861308863888,1.6338648181014825,1.6076899285370834,3.3910489807820277,0.00669242579737542
NURSE,15_1595600598,3,3,2.0288839609364966,0.2512175160860563,1.7776664448504402,1.0508558848671259,0.8292640726071892,1.3604046719269773,0.2881770394406552
NURSE,15_1595608145,14,14,-0.1482964634685671,-0.09106124529075621,-0.05723521817781088,0.7373588374500007,0.487412254366987,-1.0330665314243814,0.3134105917102245
NURSE,15_1595854651,5,4,29.624894310700363,28.844567732339833,0.7803265783605298,11.608226159736668,30.445765664354806,0.08198220002319684,0.936955926295795
NURSE,15_1595857850,0,1,,-0.15004442204088586,,0.5099039362661569,0.2802919700881281,,
NURSE,15_1595947283,2,3,-0.15977099825961089,-0.33484047654742244,,0.7353120151984371,0.4853841639599833,,
NURSE,15_1595953571,13,12,1.3325081137020225,0.16971865090017038,1.162789462801852,1.2736151493535786,1.1064592749382878,1.5843951517858732,0.12863847284380017
NURSE,15_1596027852,8,8,5.627304742423468,1.6860156824428207,3.9412890599806474,5.915992322282008,11.076932565328267,2.0365574528983186,0.06377120435437666
NURSE,15_1596037241,13,12,0.17720012706431243,-0.024234995222765666,0.2014351222870781,0.5636372806298312,0.325744938000877,1.6381282584263073,0.11508310816802121
NURSE,15_1596204744,6,5,2.894361920739056,0.9487695488890967,1.9455923718499593,2.5288834301141,3.0957888055756664,0.6621644227797444,0.5310844735804885
NURSE,15_1596219716,4,4,1291.2204088682229,1413.6136111534029,-122.39320228518,353.0540861362697,5106.695616751415,-0.12568613826472047,0.907853861385149
NURSE,15_1596222922,11,12,-4.99578146284555,-12.629443269405508,7.6336618065599575,14.746412490799045,43.59208845684469,2.8058524952467985,0.010654904858171962
NURSE,15_1596547439,5,4,3.113097846877665,4.149972380322774,-1.036874533445109,0.5105031845364381,0.28078622147164184,-0.9088596155555145,0.3998590592550223
NURSE,15_1596551659,14,14,-0.14422486302498608,-0.08144363030477995,-0.06278123272020612,0.6192423478085531,0.3751190173730498,-1.0278633647394038,0.3163816677435508
NURSE,15_1596564517,11,11,-5.50590730598218,0.4531644229069791,-5.959071728889159,3.0988204256465055,4.199259603856258,-1.00649120169307,0.3263533202396993
NURSE,15_1596636683,14,15,0.5434442045518095,-4.2649690774702895,4.808413282022099,10.982735644573463,28.01843699605902,0.7076165926938393,0.4874664176226162
NURSE,15_1596653112,11,11,0.4764798607740065,0.6302839963204497,-0.15380413554644323,1.96292453087657,2.1170616883398443,-0.3204156451001157,0.7532325658124405
NURSE,5C_1587297777,28,28,0.4362399047370431,-0.9809681957138655,1.4172081004509085,3.624787612572499,5.312536865157721,3.4628116252982646,0.0010544277386031714
NURSE,5C_1587336033,1,1,4.301369938317347,3.2505144590531794,,6.769366454935323,13.558141018186184,,
NURSE,5C_1587569014,4,3,0.34036989511460924,1.6328516162533093,-1.2924817211387,1.0235348397341069,0.7971353232122195,-1.6263412276116607,0.1714353580033002
NURSE,5C_1587593875,2,1,4.552501872692527,26.387778736913102,,,,,
NURSE,5C_1588974475,11,11,-29.67876158805906,-47.04271914953935,17.36395756148029,28.72841491634532,118.53472762099368,1.7140316208441835,0.10202622939046019
NURSE,5C_1589028738,7,7,2.251876386903419,-1.406741702810134,3.6586180897135527,10.259112830352441,25.295473810519766,0.9296442102517535,0.37119590700430116
NURSE,5C_1589199875,10,10,11.883787598695864,21.475062972517566,-9.591275373821702,,,-0.4342448864343727,0.6692793003105126
NURSE,5C_1589286789,15,15,-13.36104337287246,-20.276481614548143,6.915438241675682,20.062610677323317,69.17661032263048,0.8943803540117423,0.37923477340051415
NURSE,5C_1589298448,31,32,-1.425211927589245,-2.5285501625023277,1.1033382349130827,2.759741200684604,3.5292355496304215,0.9703588026018031,0.3363529046546663
NURSE,5C_1589803857,18,18,0.4136504327300423,0.11632625293975453,0.2973241797902878,2.2332830171121767,2.569175396050306,2.335385278425593,0.025681693272254006
NURSE,5C_1589889161,20,20,14.5211157500507,-43.553367158263086,58.07448290831378,6.599454934016867,13.05089244366482,1.0669443596525283,0.29280144534617275
NURSE,5C_1592926305,22,23,-0.36210337076225135,-0.2819540177266337,-0.08014935303561765,0.3936130829425127,0.19010012258519327,-0.21885025464602947,0.8278387074512665
NURSE,5C_1593006542,5,6,-0.04231692240504982,0.46422725966395123,-0.5065441820690011,1.7188678906948534,1.734769817663948,-1.7718378995434834,0.13553097622984492
NURSE,5C_1593018622,7,7,1.5730584367077276,3.29337663749931,-1.7203182007915825,1.1971170692844793,1.0082843913897446,-1.7681542273123465,0.10250414998302304
NURSE,5C_1593094946,11,12,-0.09594267512222543,-0.14907227440277418,0.05312959928054875,0.6694276110978549,0.42163197729060564,1.4262146135009919,0.17971383321420814
NURSE,6B_1587653438,2,1,5.137251039592186,4.724479580293252,,,,,
NURSE,6B_1588970444,43,44,5.0901357757238905,-7.478007971250469,12.56814374697436,16.2052458902434,50.218246835141564,7.3576141559799035,1.1049946511562565e-10
NURSE,6B_1589052301,3,3,-0.5643712572878423,-0.6164288967721014,0.05205763948425912,1.921405872209098,2.0502498072502924,0.6231857990988879,0.5669797107445086
NURSE,6B_1590172247,11,10,-0.9958337476880254,-0.8325318123020082,-0.16330193538601712,2.4169529687465814,2.8925468951622353,-0.31029128383049454,0.761612794082103
NURSE,6B_1592925729,10,11,0.47160499545354123,-0.7923031707630307,1.2639081662165719,1.552153451589496,1.488607119476317,1.2910524484363712,0.21470874588075062
NURSE,6B_1592996203,20,20,2.2899850968391617,3.1533194426846163,-0.8633343458454545,2.5666640416095547,3.165422234996424,-0.6171406755170032,0.5408224755718138
NURSE,6B_1593083317,6,7,-1.7043154677720358,-0.7015771022098403,-1.0027383655621955,1.8947113898104908,2.0076717496636043,-0.8491497243338203,0.41654915008283966
NURSE,6B_1593091155,15,15,0.7277640239241306,0.8934376331862102,-0.16567360926207952,1.3443361319262261,1.1998858072060394,-1.1816503924051187,0.2473599410758251
NURSE,6B_1593110897,5,4,2.225562863873779,2.0170924168729396,0.2084704470008396,2.6649098941117177,3.348897869164457,0.3297226693838719,0.7515863787550798
