dataset,subject,CHM,Markov,Logistic,HMM,OU,GBM
NURSE,15_1594140175,-1.9247479014225102,-1.0761034906494484,,-7.245234780049161,-1.9137736130358953,-6.756189989987607
NURSE,15_1594220239,-1.9320431576979264,-1.0533930558988929,,-24.190405690769772,-1.9449546053614715,-9.755970040828194
NURSE,15_1594298975,-1.9972044262081665,-1.049884822481528,,-5.002127805342447,-1.9740890013366144,-9.624624604994775
NURSE,15_1594311202,-2.1372860280925603,-1.0796294605016816,,-5.519061905772607,-2.079304035211731,-9.01211014625783
NURSE,15_1595446619,-2.010873165613393,-1.0439491154285898,,-9.685826341401517,-2.008631685644617,-5.975211201008554
NURSE,15_1595871983,-1.9204425669910408,-1.0199123074860947,,-6.025850458849096,-1.8998924027878707,-9.329159337756561
NURSE,15_1595953571,-1.9420314713634528,-1.0453544471769214,,-6.1386225873126845,-1.9586884008871621,-8.979091329108721
NURSE,15_1596551659,-1.9701900473510714,-1.0539593263387816,,-20.721144965870444,-1.9843380187139505,-8.568552422258048
NURSE,5C_1586886712,-1.4548840991397836,-0.8874650207545475,,-4.788040277755359,-1.5046644112744076,-9.076488490213094
NURSE,5C_1587569014,-2.061859791397221,-1.0683658339078714,,-49.51970956116152,-2.0423661995435167,-11.603757921218659
NURSE,5C_1588974475,-1.8997616019755412,-0.9997824029235381,,-5.564700289042315,-1.8623247800298706,-8.135690971800432
NURSE,5C_1589286789,-1.9543671139904562,-1.0102592695437387,,-10.58191991019307,-1.9471067959808397,-9.37573808372731
NURSE,5C_1589298448,-1.8563681414211242,-0.9027132537831146,,-4.500929644950328,-1.8298873615744597,-12.593467705390912
NURSE,5C_1589803857,-1.7357674931026643,-0.9714724437341374,,-4.520125123261511,-1.736593682402266,-9.210264631206522
NURSE,5C_1589889161,-1.8131662757968339,-0.9174262783159595,,-5.119697626722523,-1.826222049749834,-8.034106137100743
NURSE,5C_1592926305,-1.9494444981681471,-1.045250369438596,,-5.802093134808162,-1.9446600108442567,-10.810774030510114
NURSE,5C_1593006542,-2.064625784715584,-1.043788420870967,,-6.658246736196652,-2.053987185260996,-9.756935182530679
NURSE,5C_1593018622,-1.8316540871179192,-1.0189663558804791,,-6.1895034266872,-1.8562849949635052,-9.831487207407335
NURSE,5C_1593094946,-2.0030075957113755,-1.0501245541959427,,-5.702058850745781,-1.9933239683483173,-9.138746230728206
NURSE,6B_1587569373,-1.9420233844788402,-1.0890395998899254,,-5.863749284255983,-1.9408241613956096,-11.365372132833185
NURSE,6B_1588961203,-1.9455792484336532,-1.0385145450601687,,-6.798244783479836,-1.931607492757017,-4.972639186297095
NURSE,6B_1593024104,-2.0659266627088053,-1.065834776096477,,-6.747508323693445,-2.0582310044170837,-4.97441496895251
NURSE,6B_1593427701,-1.9741306537151568,-1.089080082310571,,-7.7008218464434295,-1.9651708065070064,-7.564204854639496
NURSE,6D_1594831043,-1.868395363049273,-1.0570300454299137,,-5.657871615898982,-1.8741613288110646,-7.136469414193874
NURSE,6D_1594910470,-2.020023617089135,-1.0328318817300182,,-5.5371949764162975,-2.0027014663883937,-11.644563176290458
NURSE,7A_1587228286,-1.6281855040506623,-1.0371666276243547,,-4.1028243512889375,-1.6230903784456696,-9.28652755980162
NURSE,7A_1587298286,-1.9236484568226033,-0.914358204840138,,-11.639395785551178,-1.8978993964887874,-10.049672527937977
NURSE,7A_1587583295,-1.6079984176841489,-0.954397379630667,,-5.349404401645974,-1.609824864910782,-11.628852323431527
NURSE,7A_1587643240,-1.770524372203002,-0.933630999004119,,-3.693646180510222,-1.7823021061838578,-6.815028713368295
NURSE,7A_1588977047,-1.9127288282831225,-1.0627733551935472,,-7.023005740508232,-1.7569814923631353,-6.153273259121077
NURSE,7A_1593177044,-1.5805421216316664,-1.018650019394134,,-5.862910804123726,-1.6538515459367769,-8.558042611510805
