dataset,subject,state,n_episodes,mean_dwell,cv_observed,cv_geometric,overdispersion,ks_stat,ks_p
NURSE,15_1596219716,overloaded,13,2.1538461538461537,0.7474446263020126,0.7319250547113999,0.01551957159061268,0.4642857142857143,0.0043589805751724775
NURSE,15_1596222922,overloaded,33,2.9393939393939394,1.120348699950281,0.8122769321068952,0.30807176784338575,0.3402061855670103,0.0006525246891651015
NURSE,15_1596551659,overloaded,96,2.3125,0.7179564104827668,0.753370803500884,-0.03541439301811722,0.43243243243243246,7.828943798585045e-17
NURSE,15_1596648020,overloaded,39,2.1538461538461537,0.8180572639337848,0.7319250547113999,0.08613220922238485,0.4642857142857143,3.204463479245327e-08
NURSE,5C_1586886712,overloaded,61,6.573770491803279,1.8916621544442205,0.920804159010954,0.9708579954332665,0.2762780510397691,0.00013148486989820682
NURSE,5C_1586886712,stuck,44,3.477272727272727,1.0195030950048696,0.8440487549031719,0.1754543401016977,0.2875816993464053,0.001025657489743259
NURSE,5C_1587336033,overloaded,17,2.1176470588235294,0.558326423395605,0.7264831572567789,-0.1681567338611739,0.4722222222222222,0.0005318334432975469
NURSE,5C_1587569014,overloaded,143,2.1468531468531467,0.9315277531254891,0.7308912055821948,0.2006365475432943,0.46579804560260585,6.0000797228778e-29
NURSE,5C_1588974475,overloaded,50,3.4,1.1808741117579256,0.8401680504168059,0.3407060613411197,0.2941176470588236,0.0002504170859938811
NURSE,5C_1589286789,overloaded,71,2.9014084507042255,0.8060299190293371,0.8095306083312989,-0.00350068930196179,0.34466019417475724,4.894368722548806e-08
NURSE,5C_1589298448,overloaded,176,3.2556818181818183,1.3266911940192176,0.832372919512565,0.49431827450665267,0.3071553228621291,3.0725886769048726e-15
NURSE,5C_1589803857,overloaded,199,3.6331658291457285,1.5682378519672135,0.8513271715232168,0.7169106804439968,0.2752420470262794,8.131425641041809e-14
NURSE,5C_1589889161,overloaded,237,3.0970464135021096,1.6341801419649937,0.8228679824985619,0.8113121594664319,0.32288828337874653,1.7257763692723618e-22
NURSE,5C_1592926305,overloaded,149,2.2751677852348995,0.7853591054833267,0.7486467634346521,0.03671234204867457,0.43952802359882004,1.0101825445280354e-26
NURSE,5C_1593006542,overloaded,83,2.3493975903614457,0.8625756882053724,0.7578647467450734,0.10471094146029902,0.4256410256410257,3.6695899110145276e-14
NURSE,5C_1593018622,overloaded,83,2.7228915662650603,1.1989762516417661,0.7954516722163946,0.40352457942537157,0.3672566371681416,1.5142251819441156e-10
NURSE,5C_1593094946,overloaded,114,1.912280701754386,0.7573670942225842,0.6906983568704115,0.06666873735217271,0.5229357798165137,1.5014402548010646e-29
NURSE,6B_1587569373,overloaded,113,2.2389380530973453,1.0683641656032403,0.7438814984891521,0.32448266711408824,0.44664031620553357,4.4832671331179626e-21
NURSE,6B_1587653438,overloaded,44,1.75,0.5465357250000211,0.6546536707079772,-0.10811794570795608,0.5714285714285714,4.023070941483206e-14
NURSE,6B_1588961203,overloaded,37,2.8378378378378377,0.6928203230275511,0.8047478161629564,-0.11192749313540529,0.35238095238095246,0.00012952781347637854
NURSE,6B_1589901451,overloaded,36,2.2222222222222223,1.133026919362466,0.7416198487095663,0.3914070706528997,0.44999999999999996,3.581166319610691e-07
NURSE,6B_1592925729,overloaded,40,2.3,0.9634139046156668,0.7518094115561123,0.21160449305955453,0.4347826086956522,2.1528680309319667e-07
NURSE,6B_1593024104,overloaded,47,2.297872340425532,0.9107082819212444,0.7515416254704824,0.159166656450762,0.4351851851851851,1.299944185490288e-08
NURSE,6B_1593083317,overloaded,20,2.25,0.9309493362512627,0.7453559924999299,0.18559334375133285,0.4444444444444444,0.0004049144329701937
NURSE,6B_1593101741,overloaded,37,2.5405405405405403,0.7523916897909328,0.7787059642274511,-0.026314274436518237,0.3936170212765957,1.1169155116396433e-05
NURSE,6B_1593110897,overloaded,47,1.9787234042553192,1.0707431642584604,0.7032948570222723,0.36744830723618804,0.5053763440860215,1.2126603369914357e-11
