dataset,subject,lrt_stat,p_nested,alpha0_full,n_boot,lam_t_obs,lam_t_null_p95,p_rw_lam_t,lr_obs,lr_null_p95,p_rw_lr,bimodality_obs,bimodality_null_p95,p_rw_bimodality,alpha0_obs,alpha0_null_p95,p_rw_alpha0
NURSE,E4_1587241555,20.83533252790491,0.006622516556291391,24.697294691735426,150,2.5689018152932808,2.9635171713714485,0.13245033112582782,20.83533252790491,11.900068039836693,0.006622516556291391,344.8233693200466,223.97845511365938,0.013245033112582781,24.697294691735426,20.62914641527977,0.04964539007092199
NURSE,F5_1594218280,7.468993170416979,0.11920529801324503,,150,0.0,3.1890965639374955,1.0,7.468993170416979,13.868582773567768,0.17880794701986755,115.1240864595818,108.06816669454668,0.046357615894039736,,25.067881317715646,
NURSE,15_1594220239,11.596615925523679,0.033112582781456956,25.55641910130539,150,1.2820043873437392,3.010853665934881,0.609271523178808,11.596615925523679,9.801275090740155,0.039735099337748346,734.9709034314178,333.47122387737784,0.006622516556291391,25.55641910130539,20.49620147525664,0.034482758620689655
NURSE,5C_1587336033,0.6396295441746531,0.8543046357615894,0.21165554994596847,150,0.9247447272647233,3.0566804141798483,0.6490066225165563,0.6396295441746531,11.42670762389579,0.9205298013245033,61.130269180741095,42.90383809481999,0.033112582781456956,0.21165554994596847,6.945531282783726,0.7941176470588235
NURSE,6D_1594910470,6.738802519053706,0.0728476821192053,8.326104317838903,150,1.4979719510820886,2.977817124646029,0.45695364238410596,6.738802519053706,10.53562925163183,0.16556291390728478,30.481081966831198,395.1880911318873,0.7483443708609272,8.326104317838903,9.27143273333681,0.07194244604316546
NURSE,7A_1587326219,40.011555480098195,0.44370860927152317,12.000428424807266,150,5.524517603782596,3.0321374936204246,0.006622516556291391,40.011555480098195,11.583307720111502,0.006622516556291391,139.70680989089854,43.49052926961472,0.006622516556291391,12.000428424807266,13.073360138649475,0.07462686567164178
NURSE,83_1604103283,2.838016547693769,0.3973509933774834,,150,0.0,2.882278200349247,1.0,2.838016547693769,10.226158700618244,0.5298013245033113,1844.7738834001389,904.637852823835,0.006622516556291391,,17.306402095279324,
NURSE,94_1587293342,1.1887154013739973,0.7483443708609272,,150,0.0,2.8671774926911175,1.0,1.1887154013739973,10.4570634892247,0.8278145695364238,348.7074560336396,220.52383350954088,0.013245033112582781,,23.01486346424815,
NURSE,CE_1587640779,2.8044091176483334,0.3708609271523179,,150,0.0,3.383773008217197,1.0,2.8044091176483334,12.855309326208005,0.609271523178808,247.19594136372064,145.7088162027447,0.013245033112582781,,17.92468056197404,
NURSE,DF_1594385893,1.146573419592528,0.7947019867549668,,150,0.0,3.2532521376568972,1.0,1.146573419592528,11.201755174005884,0.8410596026490066,470.3329632663243,217.97206434502726,0.006622516556291391,,27.150740468974284,
NURSE,EG_1603574790,11.273655485082259,0.006622516556291391,-1.333411147079436,150,2.14841308448449,3.111842639723936,0.2847682119205298,11.273655485082259,11.210226900141388,0.059602649006622516,-12.427459755718246,222.27574539377196,0.9337748344370861,-1.333411147079436,13.235704299255865,0.8881118881118881
NURSE,F5_1594223270,0.77444434097265,0.8410596026490066,,150,0.0,3.0924130066929645,1.0,0.77444434097265,10.678067339186708,0.8940397350993378,805.3262115621927,202.30142831066124,0.006622516556291391,,22.4002784045593,
NURSE,15_1594238057,14.608607457680648,0.026490066225165563,13.538702234534098,150,1.6668995858752855,2.6789141920402075,0.3509933774834437,14.608607457680648,9.262359431186626,0.019867549668874173,0.5726819753469954,52.02617482721074,0.609271523178808,13.538702234534098,12.468973216781844,0.05343511450381679
NURSE,6D_1594998483,5.899495069219597,0.4900662251655629,,150,0.0,3.0022993689132473,1.0,5.899495069219597,10.416261184343295,0.26490066225165565,98.6433612648625,355.7379575130627,0.4900662251655629,,14.068835769236665,
NURSE,7A_1587556854,7.912918507536233,0.09933774834437085,,150,0.0,2.935639413155128,1.0,7.912918507536233,8.127184987717687,0.0728476821192053,1098.7262980172372,537.8139395048983,0.006622516556291391,,18.85602949213761,
NURSE,8B_1594300904,15.102712322013318,0.006622516556291391,,150,0.0,3.1560172212050124,1.0,15.102712322013318,12.368537758951394,0.033112582781456956,141.050200048987,102.18864598636432,0.013245033112582781,,10.992890304416889,
NURSE,DF_1594662154,2.410110995066759,0.8079470198675497,,150,0.0,3.009608658218744,1.0,2.410110995066759,9.966018193640851,0.5960264900662252,-12.361310068825333,341.032446109252,0.9403973509933775,,16.344313477592816,
